id,date,n_trials,type,day_in_type
9,20240518,1,,
A,20240305,1,,
A,20240306,3,,
A,20240307,3,,
A,20240308,1,,
A,20240311,2,,
A,20240312,2,,
A,20240313,3,,
A,20240315,1,,
A,20240317,4,,
A,20240319,6,,
A,20240320,1,,
A,20240516,2,,
A,20240517,8,,
A,20240518,12,,
A,20240520,12,,
A,20240522,12,,
A,20240523,12,,
A,20240524,1,,
A,20240930,6,,
A,20241001,5,,
A,20241205,6,H,1
A,20241206,6,H,2
A,20241207,8,H,3
A,20241208,8,L,1
A,20241209,8,L,2
A,20241210,8,L,3
A,20241211,8,L,4
A,20241212,8,L,5
A,20241213,1,T,1
A,20241214,1,,
A,20241215,1,,
A,20250529,1,,
AA,20241216,8,,
AA,20241217,8,,
AA,20241218,8,,
AA,20241219,8,,
AA,20241220,8,,
AA,20241221,1,,
AA,20241222,1,,
AA,20241223,1,,
AA,20241224,1,,
AA,20250116,1,L,1
AB,20250112,6,H,1
AB,20250113,6,H,2
AB,20250115,8,H,3
AB,20250116,8,L,1
AB,20250117,8,L,2
AB,20250118,8,L,3
AB,20250119,8,L,4
AB,20250120,8,L,5
AB,20250121,1,T,1
AB,20250122,1,,
AB,20250123,1,,
AB,20250124,1,,
AB,20250125,1,,
AB,20250203,8,,
AB,20250204,1,,
AB,20250208,1,,
AB,20250211,1,,
AC,20250112,6,H,1
AC,20250113,6,H,2
AC,20250115,8,H,3
AC,20250116,8,L,1
AC,20250117,8,L,2
AC,20250118,8,L,3
AC,20250119,8,L,4
AC,20250120,8,L,5
AC,20250121,1,T,1
AC,20250125,1,,
AC,20250203,8,,
AC,20250204,1,,
AC,20250205,1,,
AC,20250206,1,,
AC,20250207,1,,
AC,20250208,1,,
AD,20250530,6,H,1
AD,20250531,6,H,2
AD,20250601,8,H,3
AD,20250602,8,L,1
AD,20250603,8,L,2
AD,20250604,8,L,3
AD,20250605,8,L,4
AD,20250606,8,L,5
AD,20250607,16,T,1
AD,20250608,8,,
AD,20250609,8,,
AD,20250610,8,,
AD,20250611,1,,
AD,20250612,1,,
AD,20250613,1,,
AD,20250614,1,,
AD,20250615,2,,
AD,20250616,8,,
AD,20250617,2,,
AD,20250618,1,,
AD,20250619,1,,
AD,20250620,1,,
AD,20250621,1,,
AD,20250622,8,,
AD,20250623,8,,
AD,20250624,8,,
AD,20250625,8,,
AD,20250626,8,,
AD,20250627,8,,
AD,20250628,8,,
AD,20250629,8,,
AD,20250630,1,,
AE,20250530,6,H,1
AE,20250531,6,H,2
AE,20250601,8,H,3
AE,20250602,8,L,1
AE,20250603,8,L,2
AE,20250604,8,L,3
AE,20250605,8,L,4
AE,20250606,8,L,5
AE,20250607,16,T,1
AE,20250608,10,,
AE,20250609,8,,
AE,20250610,8,,
AE,20250611,2,,
AE,20250615,1,,
AE,20250616,8,,
AE,20250617,2,,
AE,20250621,1,,
AE,20250622,8,,
AE,20250623,8,,
AE,20250624,8,,
AE,20250625,8,,
AE,20250626,8,,
AE,20250627,9,,
AE,20250628,10,,
AE,20250629,8,,
AE,20250630,1,,
AF,20250530,6,H,1
AF,20250531,6,H,2
AF,20250601,8,H,3
AF,20250602,8,L,1
AF,20250603,8,L,2
AF,20250604,8,L,3
AF,20250605,8,L,4
AF,20250606,8,L,5
AF,20250607,16,T,1
AF,20250608,3,,
AF,20250612,1,,
AF,20250613,8,,
AF,20250614,1,,
AF,20250615,1,,
AF,20250616,1,,
AF,20250617,2,,
AF,20250618,2,,
AF,20250622,8,,
AF,20250623,8,,
AF,20250624,8,,
AF,20250625,8,,
AF,20250626,8,,
AF,20250627,9,,
AF,20250628,8,,
AF,20250629,8,,
AF,20250630,2,,
AG,20250530,6,H,1
AG,20250531,6,H,2
AG,20250601,8,H,3
AG,20250602,8,L,1
AG,20250603,8,L,2
AG,20250604,8,L,3
AG,20250605,8,L,4
AG,20250606,8,L,5
AG,20250607,9,T,1
AG,20250608,7,,
AG,20250609,1,,
AG,20250610,1,,
AG,20250611,1,,
AG,20250612,1,,
AG,20250613,1,,
AG,20250614,9,,
AG,20250615,1,,
AG,20250619,1,,
AG,20250622,8,,
AG,20250623,8,,
AG,20250624,8,,
AG,20250625,8,,
AG,20250626,8,,
AG,20250627,8,,
AG,20250628,10,,
AG,20250629,8,,
AG,20250630,1,,
AH,20250530,6,H,1
AH,20250531,6,H,2
AH,20250601,8,H,3
AH,20250602,8,L,1
AH,20250603,8,L,2
AH,20250604,8,L,3
AH,20250605,8,L,4
AH,20250606,8,L,5
AH,20250607,8,T,1
AH,20250608,9,,
AH,20250609,8,,
AH,20250610,8,,
AH,20250611,3,,
AH,20250615,1,,
AH,20250616,8,,
AH,20250617,1,,
AH,20250618,1,,
AH,20250619,1,,
AH,20250620,1,,
AH,20250622,8,,
AH,20250623,8,,
AH,20250624,8,,
AH,20250625,8,,
AH,20250626,8,,
AH,20250627,8,,
